Category;Value
C;619228.4215634894
A;285393.43421766086
B;798760.0835422933
A;644600.5116994252
D;207515.7112509798
D;322890.72506353905
B;499147.34006846155
D;470183.0603962795
B;30180.457893858067
C;83183.54889440961
D;799845.8416100448
B;599618.9155887114
D;658147.412509574
A;511285.83278313885
B;596443.9870532578
D;553581.550590337
D;296078.27985260973
C;308510.1731499071
B;908105.5107558761
C;801635.1897293858
A;519944.6633956251
C;814658.0323032772
A;422080.67426596035
D;54977.10588814071
B;655784.15749466
C;312098.4391055374
B;95129.82296275858
A;487670.6764913459
D;87716.7992838542
B;612588.9597111874
B;158628.93473675914
B;888884.7203476663
D;481849.74683913507
D;491943.2131739287
A;585480.7420313664
C;835854.874578188
B;975801.3111510125
C;305496.07745366025
B;723559.0286383989
D;324879.8342767347
D;829816.2351335615
C;934647.1456252643
D;169187.03685106072
C;118366.73395349883
A;193849.31554021838
D;96868.61197524963
B;284693.80057621654
D;784595.1074231092
A;998028.4602571431
D;240279.37686510597
D;687951.1887428509
A;561008.7108300533
A;23125.613308265092
C;288297.2346301877
A;370835.17213116575
C;721173.1292279587
B;746531.4515371881
A;443587.6194626901
C;399721.1727843076
D;519167.9209691978
B;23346.02619674052
C;691783.0936914439
A;48365.9652397084
D;167121.06772724076
C;166355.18168685117
B;233685.78994187494
D;877928.4182727798
B;432619.03327354416
B;874701.2069965377
D;423123.0509064079
D;216131.38980030833
D;950055.9943897414
D;72768.42283313452
C;343174.17090767424
A;398760.07244706334
C;592087.5362506404
C;182471.28769738195
B;95240.5690260136
A;86339.91410238088
D;385835.102245906
B;604373.7400393911
D;145577.6068520965
D;194654.03472855882
D;902255.6741267178
A;439474.044548257
D;342585.8186542012
D;370943.32156588783
D;420033.8691796685
C;49706.70159002163
D;95480.1445119044
A;261308.2911598664
A;293444.4931838875
D;300038.77804701653
B;214041.2802438241
B;993522.8663939738
C;519751.65892735356
B;866103.3954126014
B;889541.9761701453
D;607067.30818805
D;399837.981026376
A;588377.8307068569
C;295475.55049643095
A;874696.5983277131
B;601729.9844706234
C;613923.4487127301
B;571751.5712721186
D;368238.38178655854
D;496194.49605519924
C;741428.1522662565
B;474452.554863545
C;554170.3843115586
D;72843.0376040564
B;494521.5959407836
B;74978.81557269424
A;672372.8578956643
B;750507.3009917008
B;585333.9634174955
B;878701.4867245092
C;282669.9491843129
B;929959.5928048873
D;677860.8911568477
D;193425.4158681348
D;165645.60240488662
C;212027.13084884975
D;632626.6983135794
D;744378.5933075895
B;131713.4554791188
C;856877.2878486061
A;880562.2150928456
C;779077.1366069992
