Category;Value
A;704002.7868748901
D;825003.8263197711
B;460176.623712352
C;333206.3855895748
C;881073.1371879663
B;139861.78166261804
D;84536.47202662325
D;978061.1696569864
D;250553.01604283406
B;676032.9776189544
B;180932.14400590782
B;358762.1953818527
D;652985.6637280419
C;303488.8564161767
C;808469.1966713468
C;577382.7011497088
B;14239.425518146807
D;692947.8025525713
B;174740.70547042575
B;25134.12605963084
C;521971.61550660944
D;765248.434768218
D;913839.5028345702
A;666108.1683575341
A;986774.9165428345
B;361721.35743045073
D;319232.93629477086
D;663639.8489537421
C;828442.98688609
C;889716.3948466997
D;922204.3814248304
A;378257.8283775857
C;183300.45609923944
D;291941.92981797934
B;706123.6311792497
C;308043.28201662155
C;300669.6650659543
A;37892.04790279522
A;757858.4106814079
D;362923.1217547363
A;577149.3963071329
B;31864.820104084094
A;747763.8248528515
D;200596.51306781892
C;534800.008741882
A;873206.5615316146
A;251180.0612408275
C;739544.1130160502
A;946738.6527761171
C;958454.2209117316
D;256090.72583110852
D;620215.0691797856
A;879418.3670901167
B;417232.1968514121
C;343437.23431353684
B;155858.35196535196
D;328235.5004901567
B;201311.75993865865
B;366573.6789246306
A;65281.090182237276
C;178500.8078968631
C;880647.5457721408
C;505096.3414798519
C;117108.03071985877
B;910714.5746888454
C;725716.3412696379
A;85702.36550437308
A;938136.3227536143
A;554479.4902547662
D;187491.39653119908
D;906779.6331233972
B;513361.4218077568
B;756562.2407249042
A;381458.43068770174
B;687756.1555200053
A;752801.9031715672
A;517766.6119229081
D;913872.1455300399
B;715151.7529715169
A;914844.6069946993
B;401120.6176589938
C;265228.73362623056
A;758656.0600005717
D;391271.06880169053
A;178764.0731395414
D;501727.17924814014
B;419297.26571940636
B;591791.2836405314
D;764174.1793850454
A;596893.7896118156
C;119181.54082576813
A;301544.2548833649
C;344230.45142109966
B;405347.20224016363
A;870595.8158410979
C;976327.2577378259
B;396661.21535101236
A;890760.882469762
B;410847.70368264
A;30061.042589509452
C;725728.8448610487
A;171080.75764681931
C;977989.1482563444
A;224726.51191370387
C;19773.210693099143
D;628486.6368810268
D;22931.33847873225
D;801610.1772143105
A;958788.3389538055
C;305451.39899241907
C;767538.2931757923
D;794684.8763358847
A;782168.2801639541
A;163345.02568875332
B;627729.2511345196
D;657099.8485568139
B;805759.0979104196
A;845504.4935182394
C;879608.1717810038
C;170880.59799985852
B;853494.5472145285
C;213494.54532546634
D;585385.1877109011
C;756761.6320617697
A;717913.3473628276
C;933758.5595567658
A;400437.55049636896
A;962434.5114184505
D;272641.0932715397
D;946244.5425662417
A;560262.2674902374
B;477893.4261357601
C;811112.9967027217
B;418871.44159938366
A;734391.5842587366
C;496123.01512777124
B;710245.6522619502
A;814778.9041077192
D;631829.3291062752
C;242225.91539289412
C;947454.4593517785
C;81990.95224738122
D;13635.093875904973
D;671093.9936301283
B;904785.4827718032
D;712938.2457028808
D;910525.5278878228
D;704426.6415541552
C;935711.9118403208
D;52456.17504336516
A;224255.15195811712
A;535217.5831224015
D;65395.40057433197
B;626105.6103772857
A;321239.8273845522
D;468866.5065047105
C;5998.900803612769
C;2117.988552357115
C;607183.9656892482
D;75178.84448660236
D;460034.11509989173
A;814764.8355578519
A;37336.736580758836
B;179275.22948664584
D;954868.4577774274
A;237428.14551227886
D;366786.34728647955
A;313796.5060266025
A;230748.30412891685
A;225464.5394953042
A;834806.9941036772
C;385677.2959827193
B;135872.27980604174
D;199581.3454651898
B;62864.11692480372
A;513015.79571646644
C;371070.42334014684
A;280065.76094993565
C;23406.53936436212
D;929795.8620763383
C;565943.7239147307
B;746282.2546113514
D;358255.196559575
D;2146.246572123377
D;306591.9716362402
A;685911.7207230544
D;270290.24951942376
B;674989.1136335119
B;855376.7963363776
B;695476.0306993697
A;313148.43152520637
C;234564.55098650823
B;532527.4384709635
C;910871.5447020313
C;671057.0022182696
D;928143.7230427841
B;122353.29739081977
D;168302.74211448868
C;141493.24913770793
A;226366.8093481594
A;570626.4928716213
C;548697.0083197916
A;541047.790290669
B;709007.3045646818
A;794322.0395856304
D;5594.861036087462
B;559437.1879231776
A;596323.5598818717
D;237902.12668610076
D;240679.55487056158
D;365215.6496674633
C;949854.5006452651
A;600531.0796863602
D;481528.2895243324
A;181044.59382761503
A;135951.26276837342
A;292516.8551615243
D;802368.1069918383
D;89828.47774089765
C;349989.87140785484
C;2384.630494460078
A;655482.1754883522
C;264586.60759440536
A;524893.3251770558
D;719645.0484616316
D;684516.9794146258
B;553558.9387832675
C;577922.3269988335
A;170939.57732973283
B;236438.15776797736
C;209943.9396889696
B;972704.8597073093
B;379418.34692715947
D;26640.524670628834
D;652581.356563547
C;604003.4655488867
A;616439.6598516367
B;91042.39978149836
D;756427.4599193275
C;967662.094414243
D;87939.85684193937
B;457300.611242498
B;908831.7284922533
A;22685.71600378281
C;621745.289579404
B;690887.3809606775
C;487597.2185827378
D;883699.9723373617
A;977620.5251053286
A;492117.07623712876
D;377568.2499945181
C;857883.3483589707
B;582739.6468423376
D;255915.25316495926
B;790176.6980632485
A;883806.8847040681
C;591177.8661351642
A;421027.11586271727
A;495411.3334989506
D;416576.41598742694
A;524357.2190864339
D;209936.1283921549
C;551055.0273812485
D;743649.4947506953
C;198283.76443791925
B;19350.441328562556
B;724953.2966372578
B;911313.1085533894
D;780126.2466205896
A;694202.6525189363
D;179710.21071035013
C;463387.5014336922
A;852244.7763093511
C;557002.3002056795
D;353308.05919899925
D;262501.13272277714
A;425957.7937563118
C;695870.4082480755
D;948939.461709236
A;309280.77847826015
D;721110.6795657955
D;765437.6281798019
C;801418.068379882
A;432135.56650292705
C;175795.97198164428
B;483082.89094635897
B;935407.204216034
A;121592.84411723545
D;589585.428172896
C;574454.4729453546
D;722167.7540274197
A;917628.7555204544
D;734507.9201364059
D;70416.18542303328
B;255259.4908533552
C;523406.57807583665
B;407082.82314340636
D;826626.3486486033
A;647300.3890234634
B;373168.63171381614
A;957817.3759403494
D;6538.159764971773
D;869834.8410522989
D;677649.9366502856
C;159069.66593467517
B;430530.1001908792
A;163208.0681360092
D;767708.9876075505
D;307248.06740192766
D;266635.7995592498
A;750065.2863201288
B;932090.5807717524
A;727018.321446737
D;477050.1726302771
D;968493.8715123952
A;844847.8347291017
D;607428.3906556387
B;245650.49253186
A;468755.39182348
C;383492.9666684537
A;789979.4726857364
A;486635.47414590535
C;947789.290668978
B;749298.2846722828
D;749302.7576226826
D;177092.6773516585
B;488013.3270278922
C;295635.9972509586
D;973042.0078236576
C;152551.52445265857
A;334942.9867778797
D;497867.06184633746
A;420804.0636560798
D;174420.22244949365
A;599738.3198285402
C;849207.9974760677
C;666957.6587465333
B;374575.7856663503
D;751697.5458052533
B;507206.4812582017
C;122231.94185398593
D;960494.0860590647
C;569540.0661159806
A;652068.8512915905
A;848099.2245080561
B;263371.6464567349
C;936303.0384650048
D;493051.95381398994
C;402660.46425379935
C;447600.8854932422
A;781712.2862280408
A;863276.2277797415
A;708246.2943131613
B;92776.66068283145
B;943222.4163618135
D;235562.00571745043
B;239309.39249146686
B;342845.9149700425
C;769038.2838255583
A;56943.0553037936
D;861119.3300920929
A;218111.21627881264
B;562353.5942079368
A;280459.38541497954
D;192364.61020866918
D;870106.7860728262
C;973465.6447105259
A;834953.1758754634
B;991457.5158080006
C;707532.8871046504
D;671654.2642168065
C;362064.8741105948
B;167625.09509189168
A;205753.81550782855
A;556939.4300390509
B;779811.641972306
C;660316.9005903618
A;541222.378957797
B;349465.7239991368
B;491253.8852051432
A;116277.39041481337
A;386751.39115074824
B;446901.0783474101
D;151360.12572828072
C;476368.8039910607
C;706198.7825943037
C;726882.400335872
C;301393.00512134295
C;598241.8369856868
D;563379.3454679722
C;971362.7791807958
C;93667.82308023259
D;760999.4777159676
A;839008.998888875
D;347374.9922046078
B;655559.1555539533
A;514186.5562235856
D;308260.3777962975
A;261169.51664594744
A;594272.7317863263
A;575207.9681290142
B;265976.0350713796
C;645036.1439969457
C;76071.89561051567
D;231629.4159150857
C;654873.5790251215
C;207107.07286582032
D;437724.7502774867
C;673203.9461822696
D;129498.91741992759
A;644197.975349057
A;737113.2033054938
A;947750.261289247
C;517769.7072117477
C;18342.40652826406
D;752714.488061581
D;70554.95131197083
C;703732.5766800182
A;479070.3552953499
B;705661.0967378062
A;410898.336948013
A;432166.71960543335
D;307957.55863924115
D;784935.8344091754
D;241405.25421817612
B;13129.63501249742
B;724423.2119826985
B;688000.5806795675
D;674128.2225354906
C;901702.662315089
A;918474.7335240071
B;519745.856954152
A;490141.20002971124
D;701813.9957993928
A;288555.0162148407
B;343818.431692774
C;90992.88408316571
D;9517.345926504671
C;241070.85909794725
A;521928.682306361
A;134078.46832357688
C;415525.6540921161
A;781523.8959985813
B;633731.5965963536
C;934567.4743130791
D;38817.15701070083
C;897086.5303299595
C;809437.9518462626
B;599032.9872658694
B;819595.7641022203
A;398624.76390449697
A;556142.1076763022
D;398974.58371460094
B;493299.8445804801
B;887520.5386005937
A;769277.4712002372
B;655277.4737676111
A;838564.7129046913
A;879201.7031881266
B;434538.00405136554
A;62747.30457837516
D;194727.73685481012
A;274414.8778923545
C;364038.2397105095
C;571404.8172928416
C;132674.18622880595
A;964185.1852675325
B;919773.2844423736
C;2844.5957503982604
D;520429.2549432502
B;261285.00132225544
D;529441.2422213136
C;34116.9555247999
C;566267.627574349
B;712541.1350295782
C;490174.04401770025
B;478324.2485395423
A;798051.5706536921
B;290400.31869478576
D;467767.3606189634
A;934039.250291758
D;710126.5735754875
A;391752.38201449293
A;421404.8387254161
C;531037.2681479555
C;622324.465071685
B;811759.9284126449
C;921479.4799207202
D;778706.7347094764
A;907759.3281590802
B;437614.02641995926
D;354468.1668742043
C;431374.63580252015
A;266578.5869034199
C;75051.446981188
A;303427.9971367936
B;451613.32195945206
B;25830.86263931473
D;285025.03794614633
A;518294.5843204932
A;800950.4799994695
B;845663.34591657
D;246642.109243242
D;437709.7890135007
C;558330.6900438778
D;149320.29748609642
C;660313.0855169201
D;165454.03180251058
A;279897.7434007277
B;797421.9348704931
B;557517.0922676075
D;528011.4771912341
B;453833.6517982774
A;109630.78259108386
A;51776.97086509916
C;553952.9132282678
D;516172.0677057488
C;156364.406350494
B;858297.529665004
C;138540.48449315297
D;477213.4326820247
B;809158.829493505
D;275708.6335171689
A;114750.13190694536
B;327354.6137012354
C;966040.6633962466
D;269418.016317736
A;299855.5495678063
C;973139.7060383878
A;826585.8682668
A;183102.4436433589
A;880776.2253724198
B;374122.2733335423
B;471327.4311527003
B;654952.1090799845
B;146702.69097332776
C;204136.18997301598
C;465309.92801628466
C;149570.67971211756
C;335502.36234742193
A;600345.1797795289
C;724249.2625296817
A;630791.9379246185
C;116034.1993204115
B;847493.1379949666
D;621021.6232700584
D;289795.8034461719
A;706071.3841871695
A;925803.2474271198
D;597012.63668114
C;338537.7645280678
B;898020.9960529859
C;400389.9176874313
D;320876.6254616664
A;677846.8339933829
D;448586.06848492177
B;168611.27159567396
D;719829.7406049262
B;185862.7499844637
B;405053.334672226
B;623481.382724229
B;923098.7699828967
C;474437.33841680887
B;919000.2217443963
A;522628.67870388675
C;482522.1910650024
D;89898.37815063445
B;436927.1352966547
A;986871.7454107051
A;934242.7089424768
D;327068.6483537487
D;471241.70011987904
B;426436.7920708152
C;12181.540544898984
B;805988.4343693675
C;49101.33189989703
A;238892.9630492606
B;913190.6535899657
C;998708.6815545848
D;798155.0713361873
C;452467.237872024
B;778289.7218114899
