Category;Value
C;105570.81763040712
A;657887.063903969
A;873170.5453335227
D;818273.3982863837
A;625722.7484449676
D;202606.59564162118
C;295044.8550803954
A;327625.2484965195
C;610937.7002906438
B;621198.2007039677
C;265424.01362457307
B;367958.8201197253
A;203676.03413365016
B;279964.60974299884
B;989306.4815708479
C;448881.0554757307
B;951607.1234642168
C;541241.0150100276
A;174885.28154140894
B;33157.47307376399
C;10827.811805914966
A;268579.7421479598
C;913068.7879724525
B;341820.553960613
C;49210.74309581587
D;837068.5427992207
A;895160.719346007
C;43322.83616328671
C;365170.19611412013
C;748146.0428821315
A;985214.0685228629
A;799840.073202334
D;734376.9120874134
D;181910.31727534937
B;84286.93371180532
B;118101.30574481172
A;764904.6302560538
A;664725.5099472345
A;351674.3444696906
A;916276.7911167988
D;211050.91430435274
B;707616.2803387523
A;828681.5192994021
D;386508.95409753954
D;861809.2319411795
B;479047.6388780323
B;482407.6452352151
B;184934.40613305703
B;506935.33362013253
B;600316.122160507
A;102662.85683938321
A;479655.1984021995
D;537416.7745756803
C;967777.617092402
B;619107.908689421
B;654713.805174439
D;788598.6468179809
D;826133.1511173976
B;603600.4382450277
C;444169.97578801104
A;354649.8914300272
B;521046.7713456724
A;210585.15503195714
A;648883.0235843884
A;974056.3735184504
A;910552.5609306142
B;664146.9935236615
D;251299.92566719177
A;629275.3764861076
C;401890.86898767005
C;742740.0704110351
D;355146.0900516813
C;895397.7374583888
B;606252.3793354859
A;797405.0213169672
A;813975.3717152601
C;60244.50206990297
B;492027.3568201409
C;563372.777655747
B;132926.99562708783
A;893364.0461908436
B;368115.01759795373
C;257879.12990832122
A;459238.0142999595
D;985769.4125272392
C;403028.6202752754
D;321341.64797294076
D;769050.4625634105
C;28106.74718895983
A;681125.6159066486
D;438969.29690305697
C;915329.040131719
D;218618.00429318962
C;263824.32587363274
D;771114.805613329
D;333881.6506666291
D;151146.37859707922
B;254399.40089578286
C;268735.9105897889
C;861212.7164178592
B;893574.5898895977
D;650487.6541162976
D;368454.52630015166
B;548485.2755829485
C;9613.775445066512
D;603590.3050297813
C;896389.6410022496
B;204304.04623259045
D;917261.402109494
A;837051.0151736431
C;819773.0630240635
D;241732.30243473424
B;100907.23495217586
A;372132.4961276345
D;251335.6970897574
C;360069.4937745584
B;347069.77409864706
A;476626.1147664165
D;882369.4309312579
D;632630.9098224735
C;483526.8886139249
A;21253.9760190354
D;401644.1120344207
A;419274.9749683016
D;938413.7263640596
A;268752.4813140919
A;625297.3645167556
C;967239.9118652605
D;592821.4648017151
A;238933.35153970373
D;936786.1353586572
C;113453.32215361406
A;567255.653229499
D;759231.6586985266
B;932748.6245470886
B;867808.5603670154
C;932308.1279773861
C;86684.38973885767
A;260722.43756726256
B;790029.2047688587
A;928044.9753652364
D;811321.8613070821
C;502088.52028796787
D;10487.819074722775
B;802512.8619067204
C;900303.3616350024
C;641531.5078432186
A;997821.6798925939
C;719879.7660860006
B;513975.13586683304
C;457674.3657206341
A;867490.975040121
B;397375.17704134807
C;382646.12439516466
D;47013.02635433109
D;144898.62059909347
B;622869.3380899803
D;344044.15436583274
B;963172.3462002454
A;517421.8515612826
B;931451.7099768847
B;148426.62099602644
B;396136.379726031
C;294841.9998826149
C;301317.3714803425
A;897748.8895685306
C;359373.2269139503
A;592476.3837169006
B;947070.477372865
C;175999.9129080299
A;795444.4712182835
A;103074.02562117705
C;250159.0701683926
C;350518.4175471638
A;28537.303695186958
A;763473.3443419727
C;865919.191035874
A;1209.7770062950433
B;544457.5662978119
D;529958.1252095513
A;830154.5704489837
A;417052.63103599823
B;403725.2126510937
C;778388.8864926554
C;456773.9104316282
A;38631.593282891095
A;47923.391618372116
D;883067.7422549363
A;830797.2261199976
D;813861.8464008548
B;730784.7113881669
A;655768.5198454498
D;911542.3073524229
A;381281.74290427606
C;317332.51526279625
A;666835.5550036888
B;412755.8456885824
D;590019.1144276158
B;999817.2294724765
D;37688.95283092628
C;337411.09984431026
A;44777.419310418765
C;500201.84344472486
B;533877.7815749065
A;233743.01837079623
B;462976.68196800735
B;392135.8234692558
A;719639.7488733098
C;478263.63091129076
A;582335.6375911688
C;714055.4161416484
D;345497.03600048984
D;445356.99420954037
D;364878.38183058816
D;16280.971498472847
D;933682.114380184
C;639590.8405016717
D;422516.7745769349
A;474278.30509743915
A;581580.0365386603
D;283778.24601527234
B;655076.3944661549
D;311422.9233951779
A;828048.010592913
A;576794.2791335491
B;737220.023946345
C;810592.9039662697
B;540624.2875830879
B;58031.768551529225
C;787370.3697615018
C;280260.3295482312
D;374833.63811037975
B;370749.6536758101
A;618017.3877707289
A;125910.93563538461
D;225867.4755255802
B;973342.5006684015
B;552138.2551385773
B;297674.41512050026
D;72979.4033322723
B;164572.19487477143
A;193703.83288488048
D;96703.2664293946
C;494602.60222378967
A;643785.7632603346
C;687000.9517433512
D;60570.38095157132
D;564732.4168757455
D;375235.8094318835
B;834088.4588621255
C;682080.3629970681
A;550865.4780258771
C;763117.3797074285
D;616493.5321321802
B;577895.6187009179
A;230995.95147699484
B;988767.158670582
B;125497.9177997213
D;87954.83472445674
A;600940.5667921492
C;232460.32759037602
B;929929.8019693705
A;935479.5497406522
D;944790.0323712815
B;135685.84519417916
A;395825.9868132851
A;23899.35158886401
B;640755.9248897417
B;754322.8980514132
A;363614.4222637206
B;766686.2763372809
D;340456.72579985345
A;801121.337564493
B;609408.8484068225
A;785047.5032401832
B;321353.4911376525
D;124869.45534561812
B;249902.21606515846
C;774850.1757992875
A;581555.0542806175
C;869746.5564098922
C;103024.67689641182
D;87504.73726736745
C;239813.58258640423
B;800478.2047275946
A;794732.3198550979
A;38745.27846584382
A;258922.0437115542
A;345163.6465859394
A;970251.2422154547
B;749602.8458147293
D;539192.3987289257
A;612653.8418974961
C;448204.66578920995
B;633152.9183066664
D;588651.7153930215
D;173948.0964983887
A;93820.21344422967
C;777960.7500868277
D;921243.3248405005
A;534717.0483673348
D;818148.3195788482
B;643020.3794245151
C;673084.1151420381
C;991032.521718371
C;819860.7974308188
D;863333.5073011783
A;787601.6930870841
A;248719.50417603174
C;286911.8057892124
C;655230.0726550296
D;50633.653102618955
D;708070.5187262697
A;959225.271842878
D;617436.4454576013
B;29850.971651220356
C;170612.58789367948
A;424649.6859659581
B;181346.42180976592
C;254599.99007992737
B;986710.6431426053
B;920324.8630749446
D;561400.4774610259
D;898777.7956161142
A;762664.7316595172
C;264410.44145356707
C;544220.4929213175
A;348458.27496090916
A;691163.0276376155
A;156452.3442765764
C;716081.725163137
B;724215.8132218717
D;996433.4572266061
B;783123.876091014
B;540592.2305023717
D;593482.6828099367
A;466895.5467512863
C;332485.9155035125
C;135489.44529983518
C;740748.6841488566
B;426708.39459204464
B;579214.4861016267
D;168666.7429837204
D;311311.9895059355
D;158262.29465247088
B;122643.00345163881
B;874560.0214985647
D;109572.73188202633
C;98531.28277153919
C;752554.9313739733
B;784947.374745627
B;80713.7291024808
D;470083.6179835686
C;331768.03948557674
D;712182.7466545443
C;426695.94853138004
B;93064.8658317334
A;280720.3981476834
C;448036.3406900961
C;246830.8203664989
A;99006.25637556876
A;117627.15588022795
A;407187.4652664787
D;563844.5961326228
A;998758.4137237924
B;187856.02315983287
B;307984.0230838283
A;595375.0999850497
C;646350.9246238527
A;42608.02565255265
C;918406.4309864
D;536611.7406741725
D;920135.9263269916
A;783834.1342355628
A;144217.1981777488
D;301274.86879976734
A;542160.1583517874
A;309560.8062176883
D;180578.20330877096
C;363280.2405202258
B;423240.49038076075
C;342218.46740371763
C;542823.9309715362
C;882853.7773840755
C;990875.9365328527
B;65926.66749609596
C;225952.92668314624
A;751433.2171071542
A;491947.1392610969
B;288906.5626723902
D;59828.36220739391
A;117907.08006470343
D;473097.6488136339
B;622212.4145947722
D;48102.05088533235
A;942966.4676068167
A;349678.92725479027
D;563258.8117910571
B;529140.7454954501
B;331975.2655948074
C;283477.55509960523
D;693254.7202130314
C;395206.61035789584
C;40733.19515400842
C;195515.17230190258
A;668868.9742801636
B;722972.2025042165
D;173207.48034810773
B;555536.4105578571
A;538874.3017590703
A;359792.0738415715
D;596749.9352078962
A;721142.1250607738
B;760215.5988980909
A;59017.625889069604
C;272731.6683847999
C;305834.7555389376
D;387651.5254066452
D;335567.7683913837
B;102496.86596702423
A;410768.73274935916
D;971329.2100120153
A;525274.2496616509
B;448479.63777345495
C;556686.2515990858
A;500558.3732946722
C;503853.55638543784
C;459220.2262568824
D;441715.8404135205
C;905650.981785157
A;228106.55895963378
A;193964.87976036064
B;990153.0603977272
A;752242.0580374785
A;687495.3145986391
C;87026.40252861072
A;917737.2670178476
A;576093.1351454059
A;336892.012421444
D;822072.4773571786
C;331989.00964995986
B;121357.06328134298
D;644554.3037662554
A;621066.080268177
B;510682.51797270915
B;577604.4934559162
B;235497.2388796656
D;843126.960381611
C;255369.80909144643
C;944182.2371273577
B;610309.3990427875
D;135725.020324924
A;392134.91935850005
C;960544.1455781208
C;510781.6537838492
A;179684.4194648907
A;529178.2168662485
B;726192.3094467211
B;162738.8107122932
B;117142.64431678924
A;588516.5978600333
C;990591.8975290264
D;965476.2953497004
D;764859.178359792
A;603.2822370898526
D;573184.8739190383
C;552495.8598000864
B;663771.0783254945
A;16933.073438326504
C;833424.9783529283
C;779926.2497923872
C;703149.3900955779
A;648389.7915052442
D;497397.09873385116
C;550071.6373523066
A;294380.43711606204
A;941280.6800580213
D;635141.7058879706
B;632183.1753637267
C;159920.27476677537
A;175209.98120382987
A;241909.0955140313
A;418535.6931522039
B;611823.8507818413
A;597961.1339472685
D;577267.7551580197
A;34342.72314237178
B;296743.447086223
D;556198.2255064802
B;984509.7995085256
D;474179.9775246242
B;141617.93491872304
C;404133.6942953563
B;353883.0554176777
B;543301.4517969954
B;324370.7352249595
D;704997.7136697246
C;961109.2292244248
C;658814.65795145
D;999148.926354055
B;638033.2592145635
D;538343.3475824012
D;28341.470966248005
A;770004.1199798075
B;115980.71139974841
A;503467.3801877563
C;557386.4594697984
A;229808.00440333827
B;491019.2621051763
C;124063.97809299646
A;530404.0423390996
C;693877.4428571512
A;392779.1886076694
B;835316.6610678765
B;116477.55018542467
A;551639.9271185101
A;440958.1249084829
B;904693.7978214978
B;337532.7248744222
B;852109.3971824265
D;911469.3327209402
D;199635.38006391627
C;928780.5860917786
B;52385.344283446
A;738718.4774548289
D;766434.3003501239
C;915659.750198751
D;973507.3342922548
D;669757.3732168531
A;583461.2479500636
C;738852.9806227153
B;83139.93127674257
B;429627.0876568929
C;18312.391785148026
A;398324.45309118857
D;894638.2332620961
C;665996.7049135355
C;711574.8149337835
C;972450.0582007611
C;437630.5216563075
A;737144.9859259656
D;833634.2454787692
C;493992.3330562535
C;130809.43026088565
C;208416.49327829777
D;308370.30708990747
B;954016.7029814305
C;409985.83376390516
C;442762.0058304418
A;504645.673416776
D;36149.918412616295
D;976849.5020271653
A;884263.6588406183
C;652945.6819845024
A;470066.84542808554
B;330871.0565960066
A;577367.3652725737
C;222057.1392864105
C;24629.86646479806
D;168012.70146613682
B;39070.96626133531
C;938371.6810570147
C;89371.33280621831
D;686984.4297227164
B;384073.85726834805
D;518180.748582783
D;570805.0460504235
D;934049.8954483806
D;794277.364328027
B;380249.3224561556
C;756582.6770221975
A;315186.33615254366
A;341527.1144773866
C;6429.532760335127
D;396028.344460354
A;196562.92885369455
A;867370.2266462831
B;737414.7046251497
D;490274.2552516875
C;390363.89662818896
C;181917.00747923926
C;410612.0172456323
C;959603.0508276599
A;945224.2419292191
A;487573.34419242194
B;187344.35941651184
A;533633.2110739154
B;188442.2471188588
C;858723.8312122136
B;316741.54899634497
C;50746.40321419184
C;308590.08816679916
A;668612.7572241405
B;794022.6011968119
B;154007.96051988448
B;318053.5211447554
D;718723.8226435147
D;620068.9305026393
A;801912.6534999181
D;420831.4402897938
C;931979.7275086009
C;571367.558379186
A;754062.5739819608
B;14101.847058785212
B;986360.7343560223
D;20013.613077578084
C;711037.5782205524
B;800537.7933586176
B;422086.206005259
D;512420.2534796877
B;880382.1610158357
A;353972.3344971423
A;127992.43991142092
B;27434.034564268866
D;808166.675734747
A;753320.0719421566
A;937718.5800410219
D;338321.14801380824
B;818855.2465937642
D;732485.1266826671
A;244777.27119023923
A;671247.2018720674
A;608125.0465234022
B;701447.3381598267
D;186033.8289377521
C;814861.2090216257
D;488508.1950722754
C;957466.3910138998
A;668903.4524208443
D;131998.95262724042
C;71102.53097540514
A;135796.0117267635
B;109210.38487167923
C;798329.545257462
A;665353.1064203609
C;263068.994624228
C;966333.1338237214
D;618229.0437893933
A;79340.62619621365
C;266999.3562026029
D;580388.1419137724
D;70564.3057470158
A;243851.7435618602
B;47364.41305111321
A;932672.0417165741
C;231958.6771191714
A;303487.5634524327
B;513003.6441802785
A;841679.901443291
C;515344.51889752224
B;452714.29047398054
C;875298.5724778798
C;492220.79763860366
D;334096.0319555378
C;438076.18869986397
D;839538.5329251066
A;245105.46117256195
A;771327.3870013995
C;973478.6918214114
D;569349.3231298
C;605365.481509787
C;661524.3798274624
B;217741.27647476777
A;361903.5158296178
B;819970.1919811204
A;544516.400794436
B;982823.9957911156
D;250271.79927893926
C;755828.5502541547
C;460755.7255001934
D;256236.06124167988
C;56712.29710786795
A;673558.299460392
C;970707.0444236377
A;53585.164144440896
A;570731.6285588164
D;191498.63334273483
C;308082.4298572748
C;442391.31770777516
B;7409.913972697479
D;588382.9986424547
A;73477.18647614286
B;845407.0497077857
B;170987.04272717825
B;246114.36929150138
D;212628.96729278303
C;974284.112836943
B;539095.3282162636
C;729597.0592692445
C;219920.98182583746
D;179992.74671772477
B;138446.8922325201
B;836078.09086816
A;397869.5848866793
C;865854.3405505967
D;931975.3917590012
D;310786.2056119751
B;886236.1442035073
C;897058.8939604664
B;155091.00856152593
C;765011.9143341181
A;858383.008699021
D;958768.6599640709
C;913438.7714064126
A;447026.0384937694
A;711210.6393742719
B;734599.5951772294
D;176362.75502857764
B;951739.9074628005
B;548884.7811388415
D;274693.5950072018
A;6039.211147305257
A;815422.9152822006
D;340462.9200871349
A;998272.4466172577
A;393182.1311391631
D;442869.0587038017
A;774262.5298335872
B;3129.5805723138237
B;562664.3067492157
C;147531.20660320827
C;632929.5050919175
D;819943.7373121224
C;395613.12768667174
A;36685.76385725116
A;810710.6668197028
C;305259.5270010007
A;909274.2851803107
B;975032.3735092054
C;639443.3674327537
A;716415.5559107058
A;293083.72768894857
