Category;Value
C;385102.29875842785
D;9544.364304346012
A;229267.25475345418
B;798719.3086220596
A;391039.5097646406
B;483342.34773419506
A;985847.4325464596
C;55294.87187127426
C;290762.9661282277
C;303615.7764316126
C;235060.49970472208
D;605584.9764074321
D;313245.37887983606
D;832318.3664170816
D;39133.70379156243
D;27811.036452577504
B;26014.690562276362
A;232268.36357291543
A;180829.21868943417
C;992973.7657749058
A;809973.2388036447
D;193861.82381792457
B;74352.60464838146
C;698180.916591805
D;593286.0987715799
D;776694.2447011764
B;428168.4254355644
C;232919.35192216616
A;838543.8808575236
B;34886.87597608291
B;542695.2978455799
A;455369.7554688481
A;626203.3750636913
C;8542.54543226975
C;914367.0797013831
D;827636.6129802002
D;337188.95421319356
D;253304.85595303494
D;188429.48777824707
C;398795.914940444
A;515300.54740398226
D;416641.25238177786
D;306440.9406990736
C;183721.13915565418
C;956464.8364124524
A;562524.877668777
D;764609.1763476301
D;670852.8465751905
D;545164.3409088597
B;606541.4366507143
C;737949.7818699471
A;284712.66219969676
D;900342.1484034914
A;364739.412068476
D;875760.977246659
D;605924.2330977479
C;31610.409093895676
B;691380.4584458253
D;516115.19228505506
D;393639.91544233804
D;220586.84022629051
C;206.89579082039086
B;884043.567419133
C;601508.3178037081
B;90506.21215245426
C;327435.74736134365
A;896705.4533352695
D;598925.4995351324
B;62586.25258386525
A;801015.0781430149
A;601050.0067970224
D;775445.1460184072
C;927103.4870775709
B;305106.3659261529
C;94469.61989012406
A;181480.61557892413
B;234437.77623319795
B;167050.0653799326
B;886591.6681354145
D;354637.3062057733
C;374342.40621962363
A;134976.18479341667
C;13634.649449132261
B;863966.4616248832
C;630530.3312136861
D;4120.915330631451
A;451119.79411931115
A;836804.9137313449
A;699742.1965246518
D;616956.7519749836
D;32200.427875951114
A;741904.4432218999
C;514694.51435474557
D;275728.1724365767
C;629304.7267422361
B;470443.13580091286
A;489581.7657479032
B;26009.756724339393
B;881838.4975162994
A;932573.2644544948
C;781425.7318912531
B;464084.4469093987
B;722993.8663393189
D;441349.92561274086
C;49153.60202631787
D;538989.5308999107
B;425508.1382837656
A;676512.2386938015
A;956890.7816924913
C;692707.2423485495
B;360361.9548860439
A;797228.6794515961
D;320437.5730564241
C;421336.9482114508
B;236296.51488815938
A;763129.7788657804
C;699588.2066461267
C;130414.39852542925
C;812887.1665649991
B;204183.26606654967
A;57884.70666782517
D;332129.9146154776
D;199118.47207637102
A;369148.72784348106
B;217263.88550965406
A;187880.0735387295
B;201134.65304576277
B;861826.0471007962
A;390535.1098039923
C;46768.45302086424
D;610555.4517229805
B;129520.8530527441
B;821195.4577865981
A;710468.3858470663
C;641359.8864900994
C;568604.2879116118
A;334667.67664064275
A;382962.1212846736
A;249181.70403696733
C;871643.9362419633
C;672726.7304331094
B;828588.5531624999
B;751241.3945137352
B;473346.0931212754
A;293911.57850314054
C;541468.6935003126
C;990742.1437964907
D;667595.8176745046
C;965408.2837669079
A;878523.1035358367
D;242883.4393760334
C;975764.4238607234
C;722094.6675215419
A;793232.1846510511
C;613956.2134169852
A;337210.57858017297
C;399381.02436637133
B;605662.7876936143
D;838338.9386627728
D;854898.9570587489
B;930163.5714065172
D;76389.3009736827
A;672277.7856103922
A;996685.8581386812
C;442822.88818951865
D;896959.6182827268
C;60709.56826256436
B;77395.90681612336
B;576803.5662500162
B;639700.4202851162
D;186234.55803294512
C;559099.5358243743
B;349951.2167764787
B;993474.0860554954
C;123247.14666579942
D;23648.698316534497
A;759354.6097947266
B;384586.34120755276
A;98212.00622295457
B;824724.2329083749
A;643122.3840208906
D;499330.84113141627
D;285593.99725102703
D;25294.659654806208
C;217713.79999782634
D;677326.3002634309
C;461963.33376675204
B;87867.56946726229
D;598381.7690167646
D;719122.7073854698
D;710260.3663152453
C;102710.7184788577
A;133042.66362381133
A;262857.6459263472
C;652992.7583310773
D;325199.144711103
A;817465.0248298619
C;634749.0577052672
C;75004.50665468005
D;70654.38190616274
B;41960.76668412669
B;85442.0008589115
D;296226.8435888888
D;832908.9575355115
D;242973.4133828037
D;771456.1580774761
D;78898.22551409878
A;804612.4969054242
D;711679.3865405223
D;549545.1344507724
D;490003.28859176906
B;516183.8949263504
B;777219.1583435358
A;750584.5466823976
A;286281.29439430416
C;776717.8876306928
D;570880.1386959115
D;706451.9227589649
C;616504.5009341959
C;521175.45545736526
C;961921.0515252223
